study_id,Accrued,Active Enrolling Date,Closed to Enrollment Date,Disease Site(S),national_sample,local_sample
73855721,,,,other,0,50
43066447,,,,other,0,5
20366442,1,,,other,0,0
88647673,,,,other,0,6
74135208,2,,,oncology,0,0
76097120,9,,,oncology,0,34
51117812,,,,unknown,,10
64749981,,,,other,500,0
70999652,,,,unknown,,0
46301655,1,,,oncology,5,0
10421382,2,,,other,0,10
42897062,0,,,oncology,0,16
66547377,,,,oncology,0,30
10323742,0,,,other,0,6
29062564,1,,,other,0,0
57911123,27,,,other,0,56
11460458,,,,unknown,,10
94160961,4,,,oncology,0,0
93357753,1,,,oncology,0,7
34018585,10,,,other,0,0
28629290,,,,other,0,80
51663597,,,,other,0,0
67171304,,,,oncology,0,20
88969759,0,,,other,0,0
20728628,,,,other,0,5
50947448,,,,other,0,230
99845884,1,,,other,0,179
47580819,29,,,other,0,30
23907882,,,,other,0,25
18394263,71,,,other,0,80
61527231,0,,,other,0,0
41443856,,,,other,0,0
90868380,,,,other,0,0
19079451,2,,,other,10,20
33891637,0,,,other,0,0
81085054,10,,,other,15,0
20383029,,,,oncology,0,0
30942523,0,,,oncology,0,0
33075192,8,,,other,0,0
16590203,1,,,oncology,0,10
47743478,1,,,oncology,5,0
48083349,1,,,other,0,0
94860388,,,,oncology,0,0
21659220,,,,unknown,,5
84533272,5,,,oncology,10,10
40681482,59,,,oncology,30,0
67993644,6,,,oncology,20,5
45900043,9,,,oncology,15,0
34849855,2,,,oncology,0,0
72231197,,,,other,0,60
98191687,23,,,other,20,20
11593245,9,,,other,0,20
56295147,,,,unknown,,5
40792855,,,,other,0,5
21970380,,,,unknown,,200
41494543,,,,oncology,0,3
41833374,3,,,oncology,0,0
19565042,,,,other,0,10
29100359,2,,,oncology,0,5
36144508,4,,,neurology,0,10
24666900,,,,other,0,0
17616161,14,,,other,0,0
35266774,66,,,other,256,0
39341552,3,,,other,0,10
23496499,4,,,other,0,20
72384799,2,,,other,50,2
90268719,,,,other,0,100
86344114,24,,,other,10,0
56017472,14,,,other,10,40
81027983,1,,,other,0,5
16990885,0,,,other,0,6
42304449,,,,other,0,20
92104521,6,,,other,0,20
34938632,,,,unknown,,0
12988949,1,,,cardiology,0,40
65545318,,,,other,0,0
98865840,43,,,other,0,0
13841309,,,,other,0,1
74268395,,,,unknown,,0
37350632,,,,oncology,0,6
50389173,88,,,other,320,0
83010119,,,,unknown,,0
39611188,39,,,oncology,0,0
93426320,1,,,other,0,0
56993003,,,,other,0,30
89156402,,,,other,0,0
14714843,,,,other,0,60
99935162,203,,,other,0,240
35957172,0,,,oncology,0,3
11457864,0,,,oncology,0,0
99853117,,,,oncology,0,0
74677751,,,,unknown,,2
58162681,,,,unknown,,2
86017521,,,,other,0,0
98003348,3,,,other,0,20
93438338,35,,,other,100,0
40305123,25,,,oncology,30,0
96321277,,,,unknown,,0
89318128,4,,,other,0,0
90033765,,,,other,0,10
87417227,,,,other,460,0
46951072,2,,,oncology,0,12
53586298,,,,other,0,7
80278296,11,,,other,0,0
24551070,,,,unknown,,3
37799624,,,,other,0,20
48104629,3,,,other,0,75
16502317,,,,other,0,20
94006328,,,,other,0,20
95561514,12,,,oncology,0,60
58900756,53,,,other,120,0
76500919,0,,,other,0,0
75308962,,,,unknown,,0
38608764,,,,unknown,,0
66970488,149,,,other,0,300
42156556,5,,,other,300,0
97620516,,,,other,0,30
52422304,4,,,oncology,0,20
10987303,10,,,other,0,30
27511493,,,,other,0,20
84905589,2,,,other,0,10
89704809,,,,oncology,0,8
78983605,61,,,other,0,0
65243284,7,,,other,0,10
77177470,24,,,other,256,0
91276638,,,,other,0,0
72820645,7,,,other,0,10
31189517,7,,,other,0,10
51188292,8,,,other,0,10
22653398,2,,,oncology,0,8
39627422,1,,,other,0,10
90934202,16,,,oncology,0,25
25575802,13,,,other,50,0
58221762,3,,,other,0,0
38060533,6,,,other,100,0
96463410,,,,other,0,20
25038206,8,,,oncology,0,40
92979100,,,,unknown,,0
19029781,,,,unknown,,0
81036973,,,,other,0,2
92828423,3,,,other,0,0
15517428,8,,,other,0,10
19484740,,,,other,0,3
26038829,12,,,other,0,20
89892799,10,,,other,0,100
81045052,,,,other,0,0
65110591,29,,,other,240,0
35153002,,,,other,0,150
81678583,,,,other,0,20
25891728,2,,,other,0,0
54109567,,,,other,0,10
27877235,,,,unknown,,10
11485109,,,,unknown,,10
84223732,3,,,other,0,5
53233121,7,,,other,0,10
86701455,0,,,other,0,0
43515406,,,,unknown,,12
66265814,3,,,oncology,0,0
68273275,1,,,oncology,20,5
86467835,8,,,oncology,0,15
77669283,0,,,oncology,10,0
44959599,2,,,other,0,2
96168928,2,,,other,0,0
64751878,1,,,other,0,10
76220952,3,,,other,0,6
29665904,,,,other,0,5
54933635,0,,,other,0,4
79572058,3,,,other,0,12
81951392,0,,,other,0,10
91786326,23,,,other,0,150
73147653,4,,,other,0,20
91447368,10,,,oncology,20,0
69722194,981,,,other,40,0
14278741,9,,,oncology,24,0
23298154,9,,,oncology,10,0
32366741,21,,,oncology,20,40
10387700,3,,,oncology,10,0
87630155,11,,,oncology,20,0
57647448,1,,,oncology,10,0
20496724,21,,,oncology,100,0
67895548,2,,,oncology,8,0
19439887,7,,,oncology,15,15
94105432,9,,,other,0,25
84377148,,,,unknown,,0
62704934,0,,,oncology,0,6
40635440,,,,other,0,25
51472109,,,,other,0,60
26594926,,,,other,0,44
69120193,,,,oncology,0,1
57360668,,,,oncology,1,0
25160687,,,,oncology,0,1
59197314,4,,,other,0,10
49045681,840,,,other,560,0
76620287,,,,other,0,5000
25798036,7,,,oncology,0,0
31361441,,,,oncology,0,10
31697392,,,,other,0,5
66848485,17,,,other,0,18
76705173,,,,other,0,80
20701433,27,,,other,40,0
57762436,73,,,other,64,90
23808630,,,,oncology,0,10
94423930,3,,,other,0,10
59451306,28,,,other,0,0
25486246,118,,,other,0,0
81839230,12,,,other,0,13
36748856,,,,unknown,,10
24735230,1,,,other,0,4
97027473,,,,oncology,0,0
15099620,,,,other,0,3
51667248,,,,other,0,10
11435632,,,,unknown,,12
69496109,2,,,other,0,20
78627542,1,,,oncology,8,0
28060726,6,,,other,0,10
59827526,,,,other,0,60
60159606,1,,,other,0,0
27500232,,,,other,0,5
24399449,,,,other,0,2
90866662,,,,other,0,0
95233382,48,,,other,0,50
39798161,34,,,other,0,34
91210710,102,,,other,0,0
82970339,3,,,oncology,0,12
61154340,,,,other,0,0
54285617,0,,,other,0,0
64963232,32,,,other,40,200
52666605,139,,,other,150,150
17491222,7,,,oncology,103,0
78734415,,,,other,0,0
18891518,,,,other,0,0
43993863,,,,other,0,0
83324295,,,,oncology,0,0
21792995,,,,oncology,0,5
51530010,,,,oncology,0,7
83149403,1,,,oncology,1,1
53676627,,,,other,0,5
66848578,2,,,other,0,10
14684836,0,,,diabetes,0,0
59896777,0,,,other,0,0
65635843,0,,,oncology,0,10
19269737,2,,,other,0,4
20545321,,,,unknown,,10
83280844,4,,,other,0,25
76489488,,,,other,0,0
93727917,0,,,other,0,10
27954139,4,,,other,0,10
73393872,,,,other,0,10
84058218,2,,,oncology,5,0
32825637,2,,,oncology,20,0
72838777,5,,,other,0,0
19056432,,,,oncology,0,7
69156304,,,,unknown,,5
26962102,,,,oncology,0,5
23412305,,,,unknown,,10
55189617,,,,other,0,0
22921670,,,,other,0,0
84395080,,,,other,0,0
46399589,5,,,other,100,0
67912672,,,,oncology,40,0
92432653,1,,,other,0,6
57626195,0,,,other,0,4
31041832,2,,,oncology,0,12
23202648,,,,oncology,0,16
48251081,82,,,other,635,0
20718070,,,,other,0,0
27632212,,,,other,0,0
81555223,12,,,oncology,0,0
92300287,1,,,oncology,0,0
68698832,5,,,other,0,0
76237904,,,,other,0,198
49080958,2,,,oncology,0,50
74184420,120,,,other,0,0
77418741,6,,,other,0,0
37665597,0,,,oncology,0,54
83603688,19,,,other,0,0
51204150,,,,other,0,0
35448454,,,,other,0,3
15607396,0,,,other,0,3
72156785,,,,other,0,3
41741030,4,,,other,0,10
58213875,1,,,other,0,0
92579332,2,,,other,0,20
65193607,3,,,other,0,3
42191197,3,,,other,0,10
